noise_type,noise_intensity,model,test_accuracy,baseline_accuracy,accuracy_drop,relative_drop_percent
clean,0.0,KNN,0.9214468396054074,0.9214468396054074,0.0,0.0
clean,0.0,ID3,0.907197661673365,0.907197661673365,0.0,0.0
clean,0.0,Random Forest,0.9229082937522836,0.9229082937522836,0.0,0.0
clean,0.0,BP Neural Network,0.9199853854585313,0.9199853854585313,0.0,0.0
gaussian,0.3,KNN,0.9192546583850931,0.9214468396054074,0.002192181220314282,0.23790642347344132
gaussian,0.3,ID3,0.9035440263061747,0.907197661673365,0.003653635367190322,0.402738622633907
gaussian,0.3,Random Forest,0.9185239313116551,0.9229082937522836,0.004384362440628453,0.4750593824228058
gaussian,0.3,BP Neural Network,0.9254658385093167,0.9199853854585313,-0.005480453050785483,-0.5957108816520996
gaussian,0.5,KNN,0.8998903909389843,0.9214468396054074,0.021556448666423145,2.339413164155438
gaussian,0.5,ID3,0.8830836682499087,0.907197661673365,0.024113993423456326,2.6580749093838083
gaussian,0.5,Random Forest,0.9123127511874315,0.9229082937522836,0.010595542564852067,1.1480601741884444
gaussian,0.5,BP Neural Network,0.9137742053343076,0.9199853854585313,0.006211180124223614,0.6751389992057201
uniform,0.3,KNN,0.9192546583850931,0.9214468396054074,0.002192181220314282,0.23790642347344132
uniform,0.3,ID3,0.9017172086225794,0.907197661673365,0.005480453050785594,0.6041079339508728
uniform,0.3,Random Forest,0.9199853854585313,0.9229082937522836,0.002922908293752302,0.3167062549485372
uniform,0.3,BP Neural Network,0.9247351114358787,0.9199853854585313,-0.004749725977347463,-0.516282764098491
uniform,0.5,KNN,0.9126781147241505,0.9214468396054074,0.008768724881256906,0.9516256938937411
uniform,0.5,ID3,0.8962367555717939,0.907197661673365,0.010960906101571077,1.2082158679017332
uniform,0.5,Random Forest,0.9159663865546218,0.9229082937522836,0.006941907197661745,0.7521773555027789
uniform,0.5,BP Neural Network,0.917793204238217,0.9199853854585313,0.002192181220314282,0.2382843526608495
feature_dropout,0.3,KNN,0.9156010230179028,0.9214468396054074,0.005845816587504604,0.634417129262494
feature_dropout,0.3,ID3,0.896967482645232,0.907197661673365,0.010230179028133057,1.1276681433749567
feature_dropout,0.3,Random Forest,0.9181585677749361,0.9229082937522836,0.004749725977347463,0.51464766429137
feature_dropout,0.3,BP Neural Network,0.9108512970405553,0.9199853854585313,0.009134088417975916,0.9928514694201781
feature_dropout,0.5,KNN,0.9046401169163317,0.9214468396054074,0.01680672268907568,1.8239492466296647
feature_dropout,0.5,ID3,0.8724881256850566,0.907197661673365,0.03470953598830839,3.8260169150221532
feature_dropout,0.5,Random Forest,0.9148702959444648,0.9229082937522836,0.008037997807818775,0.8709422011084714
feature_dropout,0.5,BP Neural Network,0.8776032151991231,0.9199853854585313,0.04238217025940816,4.606830818109616
label_flip,0.3,KNN,0.9061015710632079,0.9214468396054074,0.01534526854219953,1.665344964314041
label_flip,0.3,ID3,0.8184143222506394,0.907197661673365,0.08878333942272565,9.786548530004032
label_flip,0.3,Random Forest,0.9207161125319693,0.9229082937522836,0.002192181220314282,0.23752969121140893
label_flip,0.3,BP Neural Network,0.9163317500913409,0.9199853854585313,0.003653635367190322,0.39714058776806643
label_flip,0.5,KNN,0.8344903178662769,0.9214468396054074,0.08695652173913049,9.436954797779546
label_flip,0.5,ID3,0.7299963463646328,0.907197661673365,0.17720131530873218,19.532823197744662
label_flip,0.5,Random Forest,0.8980635732553891,0.9229082937522836,0.024844720496894457,2.6920031670625546
label_flip,0.5,BP Neural Network,0.9163317500913409,0.9199853854585313,0.003653635367190322,0.39714058776806643
